"Област","Община","Населено място","Район","Име на институцията","Вид на институцията","Вид на институцията - детайлен","Вид на институцията според начина на финансиране"
"София-град","Столична","Бусманци","Искър","ДГ 21","детска градина","детска градина","Общинско"
"София-град","Столична","София","Оборище","ДГ № 104","детска градина","детска градина","Общинско"
"София-град","Столична","София","Витоша","ЧДГ Усмивка","детска градина","детска градина","Частно"
"София-град","Столична","София","Сердика","ДГ №149 ""Зорница""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Студентски","ЧДГ "" Албертино01.09""ЕООД","детска градина","детска градина","Частно"
"София-град","Столична","София","Панчарево","Таткова градина","детска градина","детска градина","Частно"
"София-град","Столична","София","Изгрев","ЧПГДН СофтУни Светлина","неспециализирано","професионална гимназия","Частно"
"София-град","Столична","София","Младост","ЧНУ ""Светилник""","неспециализирано","начално","Частно"
"София-град","Столична","София","Студентски","ЧОУ ""ПРОФ. Д-Р ВАСИЛ ЗЛАТАРСКИ","неспециализирано","основно","Частно"
"София-град","Столична","София","Витоша","ЧДГ ""СЛЪНЧЕВ АНГЕЛ""","детска градина","детска градина","Частно"
"София-град","Столична","София","Подуяне","ЦПЛР - КОК - София","център за подкрепа за личностно развитие","център за кариерно ориентиране","Общинско"
"София-град","Столична","София","Витоша","ЧДГ ""Щастливо детство""","детска градина","детска градина","Частно"
"София-град","Столична","София","Триадица","ЧДГ Детската ЕООД","детска градина","детска градина","Частно"
"София-град","Столична","София","Лозенец","ЧОУ ""Роналд Лаудер""","неспециализирано","основно","Частно"
"София-град","Столична","София","Красно село","ЧНУ МИЛЕА","неспециализирано","начално","Частно"
"София-град","Столична","София","Лозенец","ЧСУ "" Константин-Кирил Философ","неспециализирано","средно","Частно"
"София-град","Столична","София","Лозенец","ЧНУ Наука за деца","неспециализирано","начално","Частно"
"София-град","Столична","София","Лозенец","ЧДГ ""Валдорф""","детска градина","детска градина","Частно"
"София-град","Столична","Банкя","Банкя","78. СУ ""Христо Смирненски""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Младост","ЧДГ"" Вълшебното Борче""","детска градина","детска градина","Частно"
"София-град","Столична","София","Възраждане","ЧДГ МОМО ЕООД","детска градина","детска градина","Частно"
"София-град","Столична","София","Оборище","Бръмбазък","детска градина","детска градина","Частно"
"София-град","Столична","София","Сердика","ЧДГ ""Йор Кидс""","детска градина","детска градина","Частно"
"София-град","Столична","Банкя","Банкя","ПГТ ""Ал. Константинов""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","Банкя","Банкя","ЧНУ ""Фоти""","неспециализирано","начално","Частно"
"София-град","Столична","София","Банкя","ЧСУ ""Цар Симеон Велики""","неспециализирано","средно","Частно"
"София-град","Столична","Банкя","Банкя","ДГ №25 ""Изворче""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Витоша","2. СУ ""Акад.Емилиян Станев""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Витоша","5 ОУ ""Ив. Вазов""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Витоша","26 СУ ""Йордан Йовков""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Витоша","50. ОУ""Васил Левски""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Витоша","52. ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Витоша","64 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Владая","Витоша","86 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Мърчаево","Витоша","152 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Витоша","ЧДГ - МАРГАРИТКА","детска градина","детска градина","Частно"
"София-град","Столична","София","Витоша","ПГЕБ""Проф. д-р Асен Златаров""","неспециализирано","професионална гимназия","Държавно"
